Virus,disease,1984,https://en.wikipedia.org/wiki/Virus_(1980_film)
Def-Con 4,atomic bomb,1985,https://en.wikipedia.org/wiki/Def-Con_4
Land of Doom,war,1986,https://en.wikipedia.org/wiki/Land_of_Doom_(1986_film)
Steel Dawn,atomic bomb,1987,https://en.wikipedia.org/wiki/Steel_Dawn
Miracle Mile,atomic bomb,1988,https://en.wikipedia.org/wiki/Miracle_Mile_(film)
The Seventh Sign,religious,1988,https://en.wikipedia.org/wiki/The_Seventh_Sign
The Blood of Heroes,wars,1989,https://en.wikipedia.org/wiki/The_Blood_of_Heroes
Cyborg,disease,1989,https://en.wikipedia.org/wiki/Cyborg_(film)
Millennium,time travel,1989,https://en.wikipedia.org/wiki/Millennium_(film)
The Handmaid's Tale,war,1990,https://en.wikipedia.org/wiki/The_Handmaid%27s_Tale_(film)
Hardware,ai,1990,https://en.wikipedia.org/wiki/Hardware_(film)
Solar Crisis,solar flare,1990,https://en.wikipedia.org/wiki/Solar_Crisis_(film)
By Dawn's Early Light,atomic bomb,1991,https://en.wikipedia.org/wiki/By_Dawn%27s_Early_Light
Neon City,climate,1991,https://en.wikipedia.org/wiki/Neon_City
The Rapture,religious,1991,https://en.wikipedia.org/wiki/The_Rapture_(1991_film)
Terminator 2,ai,1991,https://en.wikipedia.org/wiki/Terminator_2:_Judgment_Day
Until the End of the World,atomic bomb,1991,https://en.wikipedia.org/wiki/Until_the_End_of_the_World
Split Second,climate,1992,https://en.wikipedia.org/wiki/Split_Second_(1992_film)
The Stand,disease,1994,https://en.wikipedia.org/wiki/The_Stand_(TV_miniseries)
Without Warning,asteroid,1994,https://en.wikipedia.org/wiki/Without_Warning_(1994_film)
12 Monkeys,disease,1995,https://en.wikipedia.org/wiki/12_Monkeys_(film)
Judge Dredd,climate,1995,https://en.wikipedia.org/wiki/Judge_Dredd_(film)
The Prophecy,religious,1995,https://en.wikipedia.org/wiki/The_Prophecy
Sentinel 2099,disease,1995,https://en.wikipedia.org/wiki/Sentinel_2099
Tank Girl,asteroid,1995,https://en.wikipedia.org/wiki/Tank_Girl_(film)
Waterworld,global warming,1995,https://en.wikipedia.org/wiki/Waterworld
The Arrival,aliens,1996,https://en.wikipedia.org/wiki/The_Arrival_(1996_film)
Escape from L.A.,natural disaster,1996,https://en.wikipedia.org/wiki/Escape_from_L.A.
Independence Day,aliens,1996,https://en.wikipedia.org/wiki/Independence_Day_(1996_film)
The End of Evangelion,monster,1997,https://en.wikipedia.org/wiki/The_End_of_Evangelion
Future Fear,disease,1997,https://en.wikipedia.org/wiki/Future_Fear
Invasion,asteroid,1997,https://en.wikipedia.org/wiki/Invasion_(1997_film)
The Postman,war,1997,https://en.wikipedia.org/wiki/The_Postman_(film)
Armageddon,asteroid,1998,https://en.wikipedia.org/wiki/Armageddon_(1998_film)
Deep Impact,asteroid,1998,https://en.wikipedia.org/wiki/Deep_Impact_(film)
The Prophecy 2,religious,1998,https://en.wikipedia.org/wiki/The_Prophecy_2
Six String Samurai,war,1998,https://en.wikipedia.org/wiki/Six_String_Samurai
Dogma,religious,1999,https://en.wikipedia.org/wiki/Dogma_(film)
End of Days,asteroid,1999,https://en.wikipedia.org/wiki/End_of_Days_(1999_film)
The Matrix,ai,1999,https://en.wikipedia.org/wiki/The_Matrix
The Omega Code,ai,1999,https://en.wikipedia.org/wiki/The_Omega_Code
Fail Safe,atomic bomb,2000,https://en.wikipedia.org/wiki/Fail_Safe_(2000_TV)
Left Behind,atomic bomb,2000,https://en.wikipedia.org/wiki/Left_Behind:_The_Movie
Lost Souls,religious,2000,https://en.wikipedia.org/wiki/Lost_Souls_(film)
On the Beach,atomic bomb,2000,https://en.wikipedia.org/wiki/On_the_Beach_(2000_film)
The Prophecy 3: The Ascent,religious,2000,https://en.wikipedia.org/wiki/The_Prophecy_3:_The_Ascent
Titan A.E.,aliens,2000,https://en.wikipedia.org/wiki/Titan_A.E.
A.I. Artificial Intelligence,ai,2001,https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence
Final Fantasy: The Spirits Within,aliens,2001,https://en.wikipedia.org/wiki/Final_Fantasy:_The_Spirits_Within
Megiddo: The Omega Code 2,religious,2001,https://en.wikipedia.org/wiki/Megiddo:_The_Omega_Code_2
28 Days Later,zombies,2002,https://en.wikipedia.org/wiki/28_Days_Later
Reign of Fire,monster,2002,https://en.wikipedia.org/wiki/Reign_of_Fire_(film)
Resident Evil,zombies,2002,https://en.wikipedia.org/wiki/Resident_Evil_(film)
The Time Machine,time travel,2002,https://en.wikipedia.org/wiki/The_Time_Machine_(2002_film)
The Core,climate,2003,https://en.wikipedia.org/wiki/The_Core
Dreamcatcher,aliens,2003,https://en.wikipedia.org/wiki/Dreamcatcher_(2003_film)
Save the Green Planet!,aliens,2003,https://en.wikipedia.org/wiki/Save_the_Green_Planet!
The Matrix Revolutions,ai,2003,https://en.wikipedia.org/wiki/The_Matrix_Revolutions
The Matrix Reloaded,ai,2003,https://en.wikipedia.org/wiki/The_Matrix_Reloaded
Terminator 3: Rise of the Machines,ai,2003,https://en.wikipedia.org/wiki/Terminator_3:_Rise_of_the_Machines
Dawn of the Dead,zombies,2004,https://en.wikipedia.org/wiki/Dawn_of_the_Dead_(2004_film)
"I, Robot",ai,2004,"https://en.wikipedia.org/wiki/I,_Robot_(film)"
The Day After Tomorrow,climate ,2004,https://en.wikipedia.org/wiki/The_Day_After_Tomorrow
Resident Evil: Apocalypse,zombies,2004,https://en.wikipedia.org/wiki/Resident_Evil:_Apocalypse
Shaun of the Dead,zombies,2004,https://en.wikipedia.org/wiki/Shaun_of_the_Dead
’on Flux,disease,2005,https://en.wikipedia.org/wiki/%C3%86on_Flux_(film)
Land of the Dead,zombies,2005,https://en.wikipedia.org/wiki/Land_of_the_Dead
The Prophecy: Forsaken,religious,2005,https://en.wikipedia.org/wiki/The_Prophecy:_Forsaken
Southland Tales,atomic bomb,2005,https://en.wikipedia.org/wiki/Southland_Tales
Supervolcano,natural disaster,2005,https://en.wikipedia.org/wiki/Supervolcano_(docudrama)
War of the Worlds,aliens,2005,https://en.wikipedia.org/wiki/War_of_the_Worlds_(2005_film)
Children of Men,infertility,2006,https://en.wikipedia.org/wiki/Children_of_Men
Right at Your Door,war,2006,https://en.wikipedia.org/wiki/Right_at_Your_Door
Solar Attack,climate,2006,https://en.wikipedia.org/wiki/Solar_Attack
28 Weeks Later,zombies,2007,https://en.wikipedia.org/wiki/28_Weeks_Later
The Dark Hour,disease,2007,https://en.wikipedia.org/wiki/The_Dark_Hour_(2007_film)
I Am Legend,disease,2007,https://en.wikipedia.org/wiki/I_Am_Legend_(film)
The Invasion,aliens,2007,https://en.wikipedia.org/wiki/The_Invasion_(film)
Planet Terror,disease,2007,https://en.wikipedia.org/wiki/Planet_Terror
Resident Evil: Extinction,zombies,2007,https://en.wikipedia.org/wiki/Resident_Evil:_Extinction
